"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","age_weightage","income_weightage","occupation_class","expiration_weightage"
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","1","1","0","1",0,2,6,"Professionals",2
"Work","Alone","Sunny","55","7AM","Bar","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","1","1","0","1",1,2,6,"Professionals",24
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","1","0","0","1",0,2,6,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","0","0","1","0",1,2,6,"Professionals",2
"Work","Alone","Sunny","55","7AM","Restaurant(<20)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","0","0","0","1",1,2,6,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62500 - $74999","never","less1","4~8","4~8","less1","1","0","0","1",0,2,6,"Professionals",2
"No Urgent Place","Alone","Sunny","55","2PM","Restaurant(<20)","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",1,7,2,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",1,7,2,"Student",2
"No Urgent Place","Friends","Sunny","80","10AM","Bar","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",0,7,2,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Carry out & Take away","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",1,7,2,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",1,7,2,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",1,7,2,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",0,7,2,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",1,7,2,"Student",24
"No Urgent Place","Friends","Sunny","80","6PM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",0,7,2,"Student",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",1,7,2,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",1,7,2,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Carry out & Take away","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",1,7,2,"Student",24
"No Urgent Place","Alone","Sunny","55","10AM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",1,7,2,"Student",2
"Home","Alone","Sunny","55","6PM","Bar","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","1","0",0,7,2,"Student",24
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",0,7,2,"Student",24
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",0,7,2,"Student",2
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","1","0","1",0,7,2,"Student",2
"Work","Alone","Sunny","55","7AM","Bar","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","1","0","1",0,7,2,"Student",24
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",0,7,2,"Student",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","1","0",1,7,2,"Student",2
"Work","Alone","Sunny","55","7AM","Restaurant(<20)","1d","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","0","0","0","1",0,7,2,"Student",24
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","46","Single","0","Some college - no degree","Student","$12500 - $24999","never","4~8","1~3","1~3","never","1","0","0","1",0,7,2,"Student",2
"No Urgent Place","Alone","Sunny","55","2PM","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Friends","Sunny","80","10AM","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Friends","Sunny","55","2PM","Carry out & Take away","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Restaurant(<20)","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Kids","Sunny","80","10AM","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",2
"No Urgent Place","Kids","Sunny","80","10AM","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Kids","Sunny","80","2PM","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Kids","Sunny","55","2PM","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",24
"No Urgent Place","Kids","Sunny","55","6PM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",0,7,7,"Professionals",2
"Home","Alone","Sunny","55","6PM","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","1","0",1,7,7,"Professionals",24
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",0,7,7,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","0","1",1,7,7,"Professionals",2
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","1","0","1",0,7,7,"Professionals",2
"Work","Alone","Sunny","55","7AM","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","1","0","1",1,7,7,"Professionals",24
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",1,7,7,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","1","0",0,7,7,"Professionals",2
"Work","Alone","Sunny","55","7AM","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","0","0","0","1",1,7,7,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education&Training&Library","$75000 - $87499","less1","1~3","1~3","1~3","less1","1","0","0","1",0,7,7,"Professionals",2
"No Urgent Place","Alone","Sunny","55","2PM","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",0,2,2,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","80","10AM","Bar","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Carry out & Take away","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",24
"No Urgent Place","Friends","Sunny","80","6PM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Carry out & Take away","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",24
"No Urgent Place","Alone","Sunny","55","10AM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",2
"Home","Alone","Sunny","55","6PM","Bar","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","1","0",1,2,2,"Student",24
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",24
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",2
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","1","0","1",1,2,2,"Student",2
"Work","Alone","Sunny","55","7AM","Bar","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","1","0","1",0,2,2,"Student",24
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","1","0",1,2,2,"Student",2
"Work","Alone","Sunny","55","7AM","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","0","0","0","1",1,2,2,"Student",24
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12500 - $24999","1~3","less1","1~3","less1","1~3","1","0","0","1",1,2,2,"Student",2
"No Urgent Place","Alone","Sunny","55","2PM","Restaurant(<20)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",1,3,5,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",1,3,5,"Student",2
"No Urgent Place","Friends","Sunny","80","10AM","Bar","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",1,3,5,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Carry out & Take away","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",0,3,5,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",1,3,5,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",0,3,5,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Coffee House","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",1,3,5,"Student",24
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",1,3,5,"Student",24
"No Urgent Place","Friends","Sunny","80","6PM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",0,3,5,"Student",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",0,3,5,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",0,3,5,"Student",2
"No Urgent Place","Friends","Sunny","55","2PM","Carry out & Take away","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",1,3,5,"Student",24
"No Urgent Place","Alone","Sunny","55","10AM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",0,3,5,"Student",2
"Home","Alone","Sunny","55","6PM","Bar","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","1","0",1,3,5,"Student",24
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",0,3,5,"Student",24
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","0","1",0,3,5,"Student",2
"Work","Alone","Sunny","55","7AM","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","1","0","1",1,3,5,"Student",2
"Work","Alone","Sunny","55","7AM","Bar","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","1","0","1",1,3,5,"Student",24
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","1","0","0","1",0,3,5,"Student",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50000 - $62499","1~3","gt8","4~8","1~3","less1","0","0","1","0",1,3,5,"Student",2
